Frame,ID,Tipo,Confiança,Centro_X,Centro_Y
112,22,bus,-,165,274
113,18,car,-,762,403
113,22,bus,-,150,276
114,18,car,-,757,403
114,22,bus,-,136,279
115,18,car,-,754,403
115,22,bus,-,122,281
116,18,car,-,751,403
116,22,bus,-,109,284
117,18,car,-,748,403
117,22,bus,-,102,285
118,18,car,-,745,403
118,22,bus,-,98,287
118,24,car,-,523,384
119,18,car,-,743,403
119,22,bus,-,94,288
120,18,car,-,741,404
120,22,bus,-,90,290
120,25,bus,-,313,321
121,18,car,-,741,404
121,22,bus,-,86,293
121,24,car,-,509,386
122,18,car,-,742,404
122,22,bus,-,83,295
122,24,car,-,504,386
122,25,bus,-,296,315
123,18,car,-,742,404
123,22,bus,-,79,298
123,25,bus,-,287,319
124,18,car,-,729,404
124,22,bus,-,77,301
125,18,car,-,712,400
125,22,bus,-,73,303
125,24,car,-,492,387
126,22,bus,-,70,304
126,24,car,-,487,387
126,26,truck,-,717,296
127,22,bus,-,67,305
127,24,car,-,481,387
127,25,bus,-,250,333
127,26,truck,-,685,291
